+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
|               635 | 10 |     READY |   RUNNING |
|               640 | 10 |   RUNNING |   WAITING |
|               640 | 20 |     READY |   RUNNING |
|               647 | 20 |   RUNNING |   WAITING |
|               650 | 30 |   WAITING |     READY |
|               650 | 10 |   WAITING |     READY |
|               650 | 10 |     READY |   RUNNING |
|               655 | 10 |   RUNNING |   WAITING |
|               655 | 30 |     READY |   RUNNING |
|               659 | 20 |   WAITING |     READY |
|               665 | 10 |   WAITING |     READY |
|               665 | 30 |   RUNNING |   WAITING |
|               665 | 10 |     READY |   RUNNING |
|               670 | 10 |   RUNNING |   WAITING |
|               670 | 20 |     READY |   RUNNING |
|               677 | 20 |   RUNNING |   WAITING |
|               680 | 30 |   WAITING |     READY |
|               680 | 10 |   WAITING |     READY |
|               680 | 10 |     READY |   RUNNING |
|               685 | 10 |   RUNNING |   WAITING |
|               685 | 30 |     READY |   RUNNING |
|               689 | 20 |   WAITING |     READY |
|               695 | 10 |   WAITING |     READY |
|               695 | 30 |   RUNNING |   WAITING |
|               695 | 10 |     READY |   RUNNING |
|               700 | 10 |   RUNNING |   WAITING |
|               700 | 20 |     READY |   RUNNING |
|               707 | 20 |   RUNNING |   WAITING |
|               710 | 30 |   WAITING |     READY |
|               710 | 10 |   WAITING |     READY |
|               710 | 10 |     READY |   RUNNING |
|               715 | 10 |   RUNNING |   WAITING |
|               715 | 30 |     READY |   RUNNING |
|               719 | 20 |   WAITING |     READY |
|               725 | 10 |   WAITING |     READY |
|               725 | 30 |   RUNNING |   WAITING |
|               725 | 10 |     READY |   RUNNING |
|               730 | 10 |   RUNNING |   WAITING |
|               730 | 20 |     READY |   RUNNING |
|               737 | 20 |   RUNNING |   WAITING |
|               740 | 30 |   WAITING |     READY |
|               740 | 10 |   WAITING |     READY |
|               740 | 10 |     READY |   RUNNING |
|               745 | 10 |   RUNNING |   WAITING |
|               745 | 30 |     READY |   RUNNING |
|               749 | 20 |   WAITING |     READY |
|               755 | 10 |   WAITING |     READY |
|               755 | 30 |   RUNNING |   WAITING |
|               755 | 10 |     READY |   RUNNING |
|               760 | 10 |   RUNNING |   WAITING |
|               760 | 20 |     READY |   RUNNING |
|               767 | 20 |   RUNNING |   WAITING |
|               770 | 30 |   WAITING |     READY |
|               770 | 10 |   WAITING |     READY |
|               770 | 10 |     READY |   RUNNING |
|               775 | 10 |   RUNNING |   WAITING |
|               775 | 30 |     READY |   RUNNING |
|               779 | 20 |   WAITING |     READY |
|               785 | 10 |   WAITING |     READY |
|               785 | 30 |   RUNNING |   WAITING |
|               785 | 10 |     READY |   RUNNING |
|               790 | 10 |   RUNNING |   WAITING |
|               790 | 20 |     READY |   RUNNING |
|               797 | 20 |   RUNNING |   WAITING |
|               800 | 30 |   WAITING |     READY |
|               800 | 10 |   WAITING |     READY |
|               800 | 10 |     READY |   RUNNING |
|               805 | 10 |   RUNNING |   WAITING |
|               805 | 30 |     READY |   RUNNING |
|               809 | 20 |   WAITING |     READY |
|               815 | 10 |   WAITING |     READY |
|               815 | 30 |   RUNNING |   WAITING |
|               815 | 10 |     READY |   RUNNING |
|               820 | 10 |   RUNNING |   WAITING |
|               820 | 20 |     READY |   RUNNING |
|               827 | 20 |   RUNNING |   WAITING |
|               830 | 30 |   WAITING |     READY |
|               830 | 10 |   WAITING |     READY |
|               830 | 10 |     READY |   RUNNING |
|               835 | 10 |   RUNNING |   WAITING |
|               835 | 30 |     READY |   RUNNING |
|               839 | 20 |   WAITING |     READY |
|               845 | 10 |   WAITING |     READY |
